fare_amount,passenger_count,pickup_year,pickup_month,pickup_day_of_month,pickup_hour,pickup_minute,pickup_second,Trip_distance_KM
5.0,1.0,2013.0,3.0,10.0,15.0,44.0,0.0,0.8330313532367483
17.0,1.0,2013.0,7.0,8.0,21.0,24.0,0.0,5.895176398663317
8.0,1.0,2014.0,3.0,21.0,11.0,0.0,29.0,2.531192500250842
12.0,1.0,2014.0,10.0,2.0,13.0,39.0,56.0,1.6519233485926539
12.5,1.0,2011.0,8.0,31.0,8.0,21.0,47.0,5.120878027664468
7.5,1.0,2014.0,5.0,19.0,6.0,26.0,0.0,2.5177382533076953
6.9,5.0,2012.0,4.0,5.0,5.0,50.0,0.0,1.7516729325098332
5.0,2.0,2015.0,3.0,4.0,14.0,55.0,40.0,0.5895227054570954
10.5,1.0,2010.0,4.0,27.0,21.0,40.0,7.0,3.9953574940859324
7.7,1.0,2011.0,2.0,22.0,11.0,9.0,16.0,2.215641221765791
11.0,2.0,2015.0,4.0,3.0,16.0,21.0,30.0,1.9843978056549734
5.7,1.0,2009.0,1.0,9.0,15.0,1.0,20.0,1.2958537266716867
9.0,1.0,2013.0,1.0,9.0,14.0,42.0,0.0,2.2319301143731476
13.5,1.0,2013.0,7.0,6.0,17.0,18.0,0.0,3.20794629011859
7.5,1.0,2013.0,10.0,8.0,17.0,29.0,0.0,1.4229759224426473
14.0,1.0,2015.0,5.0,17.0,8.0,2.0,59.0,3.4993262859394165
5.7,3.0,2011.0,6.0,9.0,0.0,53.0,0.0,1.3078239626493957
10.0,1.0,2014.0,11.0,12.0,12.0,40.0,29.0,2.4406349815980275
5.7,5.0,2010.0,6.0,4.0,14.0,49.0,0.0,1.178380775827782
9.7,2.0,2010.0,11.0,8.0,20.0,42.0,0.0,4.212191174381815
14.1,1.0,2011.0,3.0,9.0,7.0,24.0,34.0,6.139717453274667
7.7,2.0,2011.0,8.0,4.0,10.0,38.0,0.0,0.7533049430729081
52.0,1.0,2009.0,3.0,25.0,0.0,8.0,52.0,0.0
11.3,1.0,2010.0,3.0,22.0,10.0,1.0,0.0,4.069608876061264
8.5,1.0,2012.0,3.0,25.0,9.0,22.0,45.0,3.3060127349857247
12.9,6.0,2012.0,6.0,5.0,9.0,16.0,0.0,2.9279920827490526
9.5,1.0,2012.0,11.0,6.0,11.0,33.0,14.0,0.5648509525435554
9.0,1.0,2014.0,5.0,22.0,18.0,30.0,0.0,2.0401474229140892
10.0,6.0,2014.0,10.0,17.0,8.0,28.0,0.0,2.004244471321218
9.0,1.0,2012.0,12.0,6.0,18.0,5.0,0.0,1.4901270325715863
17.0,1.0,2014.0,7.0,20.0,12.0,48.0,35.0,2.9552286405677717
6.1,5.0,2009.0,1.0,25.0,18.0,41.0,0.0,1.106408724983448
14.5,2.0,2010.0,3.0,27.0,2.0,26.0,39.0,4.615431917070455
3.7,1.0,2011.0,1.0,5.0,17.0,39.0,0.0,0.4809354905251932
5.3,3.0,2010.0,1.0,3.0,10.0,20.0,12.0,1.5221201914206517
11.5,5.0,2012.0,11.0,8.0,21.0,0.0,0.0,3.2531422758917374
4.0,1.0,2013.0,11.0,23.0,23.0,34.0,3.0,0.9392680149218476
10.5,1.0,2010.0,6.0,17.0,16.0,12.0,58.0,2.6509879515406833
5.0,1.0,2013.0,5.0,10.0,16.0,39.0,8.0,1.6790616513369219
8.0,1.0,2014.0,1.0,6.0,21.0,21.0,0.0,2.3272510578062873
7.3,2.0,2010.0,9.0,30.0,8.0,38.0,0.0,1.871337076748409
6.5,5.0,2012.0,10.0,6.0,15.0,47.0,0.0,1.7988888476700464
8.0,1.0,2013.0,2.0,11.0,0.0,13.0,0.0,1.3815369268600397
16.5,1.0,2014.0,9.0,12.0,23.0,10.0,0.0,5.4648492983023536
11.5,1.0,2012.0,12.0,21.0,6.0,47.0,0.0,3.13768293944302
12.5,2.0,2014.0,11.0,1.0,16.0,51.0,9.0,1.2644240951538384
5.5,1.0,2013.0,1.0,26.0,18.0,36.0,0.0,0.7139522431010981
6.5,1.0,2013.0,5.0,20.0,11.0,3.0,50.0,1.7856331366897438
16.5,3.0,2015.0,5.0,31.0,7.0,33.0,18.0,6.362373063580376
9.0,1.0,2015.0,2.0,15.0,22.0,41.0,32.0,2.9021087727735897
8.9,1.0,2009.0,6.0,25.0,10.0,29.0,0.0,2.0767489833437454
10.9,1.0,2009.0,7.0,23.0,17.0,5.0,10.0,3.75979301159908
8.9,1.0,2011.0,3.0,19.0,15.0,0.0,27.0,2.749911669113471
8.5,1.0,2011.0,5.0,6.0,11.0,37.0,14.0,1.7884320065383257
17.0,1.0,2013.0,2.0,8.0,9.0,50.0,4.0,2.094079814122606
12.5,1.0,2010.0,8.0,24.0,1.0,39.0,26.0,6.149375590457073
16.0,1.0,2014.0,10.0,25.0,21.0,24.0,0.0,6.515355442786547
8.0,1.0,2015.0,4.0,19.0,22.0,21.0,12.0,2.0031718105321863
5.7,1.0,2011.0,10.0,26.0,3.0,37.0,0.0,2.2833625689098063
5.5,1.0,2015.0,4.0,18.0,9.0,30.0,31.0,1.1156729511357353
16.5,2.0,2009.0,2.0,27.0,13.0,31.0,21.0,6.655018289894553
12.9,2.0,2009.0,7.0,16.0,20.0,33.0,0.0,5.185306316483921
10.1,1.0,2011.0,5.0,16.0,13.0,10.0,38.0,3.183943746565985
9.5,1.0,2013.0,8.0,9.0,21.0,19.0,0.0,1.5327365191759594
4.5,5.0,2010.0,3.0,14.0,15.0,40.0,0.0,0.9819286778035421
6.5,1.0,2011.0,4.0,27.0,13.0,19.0,48.0,0.9668313668743997
8.0,1.0,2014.0,11.0,4.0,12.0,11.0,19.0,1.0468651380143645
4.9,1.0,2009.0,12.0,27.0,21.0,7.0,39.0,1.2197196621770745
5.7,2.0,2010.0,7.0,4.0,13.0,7.0,47.0,0.9164151211513251
15.3,5.0,2011.0,6.0,12.0,13.0,33.0,0.0,5.959479999458392
14.9,1.0,2012.0,8.0,28.0,12.0,29.0,40.0,4.018947408393933
7.0,1.0,2012.0,11.0,11.0,18.0,23.0,0.0,1.1399810970476703
8.5,1.0,2014.0,8.0,13.0,8.0,26.0,0.0,2.2840664791710097
4.1,1.0,2011.0,1.0,21.0,18.0,43.0,46.0,0.6781096009127382
11.7,1.0,2011.0,2.0,26.0,20.0,27.0,36.0,4.843126149341566
5.7,2.0,2009.0,6.0,6.0,23.0,56.0,0.0,1.1066284843411842
5.3,1.0,2009.0,1.0,24.0,9.0,51.0,0.0,1.4342746116556646
4.9,1.0,2009.0,3.0,25.0,14.0,48.0,49.0,1.5628012372567268
6.5,4.0,2010.0,9.0,10.0,18.0,45.0,0.0,1.4315539961484138
11.3,2.0,2011.0,8.0,31.0,13.0,47.0,2.0,3.080392940169752
11.5,1.0,2013.0,4.0,12.0,4.0,39.0,51.0,4.578618097786763
5.3,2.0,2009.0,5.0,29.0,9.0,46.0,11.0,0.846417123834399
5.7,1.0,2010.0,7.0,15.0,19.0,9.0,1.0,1.3994756139060323
8.1,1.0,2009.0,9.0,7.0,18.0,52.0,0.0,2.8110348512896026
6.1,1.0,2010.0,6.0,9.0,6.0,20.0,32.0,2.238799336440205
9.3,1.0,2012.0,4.0,15.0,17.0,2.0,44.0,2.4728024168443503
4.5,2.0,2013.0,2.0,6.0,14.0,52.0,0.0,0.003979428351054611
5.7,4.0,2011.0,12.0,13.0,5.0,56.0,0.0,1.3851599791306533
16.5,2.0,2014.0,7.0,27.0,8.0,22.0,0.0,5.331230315155872
17.0,2.0,2013.0,6.0,6.0,15.0,23.0,56.0,5.132964797023163
24.5,6.0,2014.0,7.0,12.0,15.0,22.0,0.0,5.986093321484263
6.1,1.0,2010.0,5.0,25.0,20.0,14.0,0.0,1.6759268421436706
6.0,1.0,2012.0,9.0,8.0,0.0,49.0,20.0,1.6539531354479426
6.5,1.0,2014.0,1.0,8.0,21.0,55.0,58.0,0.0
4.5,3.0,2012.0,8.0,30.0,18.0,57.0,0.0,0.9665340387336394
27.0,1.0,2013.0,5.0,2.0,7.0,41.0,0.0,7.05697756626643
16.1,1.0,2010.0,1.0,12.0,17.0,11.0,0.0,5.161748159754845
15.7,2.0,2010.0,11.0,7.0,17.0,14.0,23.0,3.61209819569198
5.5,1.0,2013.0,1.0,5.0,21.0,36.0,0.0,0.7781462936745024
6.0,1.0,2013.0,10.0,5.0,9.0,12.0,21.0,1.1731825661075364
7.7,1.0,2009.0,11.0,16.0,23.0,53.0,0.0,1.5968528899223018
12.9,1.0,2011.0,4.0,5.0,11.0,29.0,0.0,3.50758803426445
5.7,2.0,2011.0,1.0,14.0,18.0,10.0,0.0,0.9615399232148888
5.3,2.0,2012.0,4.0,2.0,8.0,2.0,16.0,0.8890502841656303
10.5,1.0,2010.0,2.0,10.0,8.0,57.0,54.0,3.6283194723286396
7.3,1.0,2011.0,5.0,31.0,22.0,21.0,1.0,3.892558237353592
4.5,1.0,2011.0,9.0,26.0,9.0,32.0,42.0,0.7419523364096186
12.5,1.0,2012.0,10.0,23.0,8.0,9.0,25.0,2.6973492125570706
16.5,1.0,2013.0,9.0,7.0,22.0,29.0,0.0,6.622050740611727
4.9,2.0,2012.0,7.0,31.0,19.0,20.0,0.0,0.9186771524206597
4.1,1.0,2011.0,8.0,26.0,8.0,0.0,0.0,0.9444107302770357
15.5,1.0,2013.0,3.0,17.0,12.0,56.0,58.0,4.517759367346239
11.0,1.0,2015.0,5.0,25.0,15.0,11.0,9.0,3.2929742776807505
4.9,2.0,2009.0,4.0,8.0,19.0,11.0,10.0,1.1161486816461372
11.3,1.0,2009.0,6.0,6.0,1.0,57.0,52.0,5.7498461866977
14.9,6.0,2012.0,1.0,13.0,11.0,28.0,0.0,2.345042115986077
6.1,1.0,2012.0,6.0,18.0,20.0,57.0,27.0,1.815290692024151
3.3,1.0,2010.0,2.0,23.0,9.0,49.0,0.0,0.15372577374753343
4.1,1.0,2012.0,1.0,6.0,7.0,5.0,8.0,0.6892565192111914
12.0,3.0,2014.0,7.0,21.0,14.0,3.0,0.0,2.3240212381342618
9.0,1.0,2014.0,8.0,5.0,11.0,44.0,33.0,1.1802135307974915
2.5,1.0,2012.0,3.0,29.0,3.0,51.0,0.0,0.06911013284982041
8.9,1.0,2012.0,6.0,30.0,13.0,43.0,0.0,2.3593256993438048
10.5,1.0,2014.0,1.0,31.0,4.0,49.0,53.0,1.8843607828060016
5.7,1.0,2010.0,11.0,16.0,19.0,40.0,0.0,1.0037843032233613
7.0,2.0,2012.0,12.0,15.0,19.0,11.0,53.0,1.5201507053288297
12.0,1.0,2014.0,7.0,20.0,23.0,51.0,54.0,4.921302570614659
4.5,1.0,2012.0,8.0,18.0,18.0,33.0,0.0,1.4844164035303624
7.3,5.0,2009.0,8.0,8.0,21.0,32.0,0.0,1.806071087523978
5.3,1.0,2010.0,1.0,8.0,0.0,28.0,0.0,2.0159301667825082
6.9,5.0,2010.0,9.0,19.0,19.0,28.0,0.0,2.658800831254022
9.3,1.0,2012.0,5.0,16.0,18.0,14.0,0.0,2.563061654995375
6.7,1.0,2009.0,2.0,13.0,16.0,54.0,52.0,1.6976916042742
9.0,1.0,2013.0,9.0,3.0,8.0,8.0,0.0,2.442136705492628
13.0,2.0,2013.0,1.0,20.0,14.0,33.0,27.0,3.2946980938459562
5.5,1.0,2013.0,9.0,9.0,22.0,12.0,59.0,1.0199962019688062
8.1,1.0,2009.0,1.0,23.0,7.0,28.0,0.0,3.4999416608314173
9.3,1.0,2011.0,2.0,18.0,13.0,19.0,49.0,3.0604488348467775
18.0,1.0,2013.0,5.0,11.0,19.0,51.0,0.0,4.834035193045282
12.0,1.0,2014.0,9.0,13.0,12.0,17.0,0.0,2.099741195717782
7.3,1.0,2009.0,4.0,21.0,22.0,59.0,27.0,2.296128525853001
4.9,2.0,2009.0,9.0,26.0,15.0,17.0,20.0,1.230850061995172
16.1,1.0,2010.0,5.0,28.0,21.0,33.0,7.0,4.30806397655951
12.9,2.0,2011.0,5.0,2.0,8.0,20.0,11.0,5.95958931625251
4.0,1.0,2015.0,2.0,14.0,19.0,0.0,23.0,0.6409640451495638
15.3,1.0,2011.0,5.0,2.0,12.0,44.0,59.0,4.613414963731848
11.7,1.0,2012.0,6.0,24.0,17.0,33.0,0.0,3.6501968503807065
8.9,1.0,2010.0,6.0,30.0,2.0,22.0,5.0,3.065579572354803
6.0,1.0,2013.0,4.0,26.0,2.0,6.0,0.0,0.7555891594908499
6.0,1.0,2013.0,5.0,2.0,3.0,57.0,12.0,1.233549599726605
6.5,1.0,2011.0,1.0,23.0,11.0,44.0,28.0,1.4960149417612534
7.5,1.0,2012.0,10.0,14.0,21.0,6.0,27.0,2.056956676767375
16.5,1.0,2015.0,4.0,30.0,14.0,7.0,57.0,1.981496755420324
9.7,1.0,2012.0,1.0,8.0,19.0,3.0,15.0,4.461754892505509
7.7,1.0,2012.0,4.0,24.0,13.0,0.0,36.0,2.91945779903974
19.0,2.0,2014.0,5.0,9.0,9.0,42.0,16.0,6.278086991302262
10.5,2.0,2012.0,11.0,18.0,12.0,17.0,0.0,2.484160912132858
8.9,3.0,2011.0,6.0,15.0,18.0,7.0,0.0,2.117610793453465
7.5,1.0,2012.0,8.0,25.0,1.0,53.0,42.0,0.0
5.5,1.0,2012.0,9.0,6.0,13.0,41.0,0.0,0.9049062322375895
10.9,1.0,2009.0,5.0,13.0,18.0,17.0,0.0,4.0364708162957585
5.7,1.0,2010.0,1.0,17.0,22.0,7.0,0.0,1.8048133424759127
18.1,2.0,2009.0,12.0,6.0,11.0,58.0,29.0,5.881854710974936
10.9,5.0,2010.0,6.0,30.0,6.0,15.0,0.0,4.857747954176141
8.9,5.0,2011.0,4.0,4.0,18.0,56.0,0.0,3.946662806244919
13.5,2.0,2014.0,3.0,3.0,23.0,30.0,0.0,5.630199404408323
5.0,2.0,2014.0,5.0,19.0,20.0,59.0,26.0,1.413008687657339
5.3,1.0,2011.0,12.0,7.0,19.0,40.0,21.0,1.128698494679093
7.7,1.0,2012.0,6.0,17.0,2.0,5.0,53.0,1.65759158073312
9.0,1.0,2013.0,1.0,1.0,14.0,26.0,0.0,2.593407343069941
16.1,1.0,2011.0,10.0,8.0,0.0,24.0,0.0,2.867243073054519
4.9,2.0,2012.0,7.0,30.0,16.0,19.0,8.0,1.054390230316595
5.5,1.0,2012.0,9.0,9.0,10.0,24.0,15.0,1.255123445372117
8.5,3.0,2014.0,2.0,28.0,22.0,45.0,7.0,1.8381625623069295
9.5,1.0,2014.0,6.0,10.0,14.0,18.0,29.0,4.005928331032933
7.5,1.0,2015.0,3.0,29.0,13.0,31.0,25.0,1.9366958397066505
6.9,1.0,2009.0,12.0,14.0,12.0,33.0,0.0,0.0
7.5,2.0,2013.0,9.0,21.0,2.0,54.0,0.0,1.7736536918310526
8.1,1.0,2009.0,8.0,31.0,10.0,25.0,0.0,2.0040001473646596
5.7,1.0,2012.0,6.0,26.0,13.0,8.0,14.0,0.8800345126214999
14.1,1.0,2010.0,1.0,21.0,8.0,39.0,0.0,4.1754751919269895
5.7,1.0,2011.0,7.0,21.0,15.0,43.0,0.0,1.673928620718389
7.0,1.0,2013.0,11.0,6.0,11.0,26.0,54.0,1.4071183572545585
12.0,1.0,2014.0,2.0,9.0,2.0,17.0,0.0,3.538529690036565
11.5,1.0,2015.0,4.0,18.0,8.0,29.0,8.0,3.35013880671911
12.1,1.0,2010.0,3.0,27.0,22.0,20.0,51.0,4.272302557208924
4.5,1.0,2010.0,9.0,13.0,9.0,37.0,0.0,1.2334129528666942
10.1,1.0,2011.0,4.0,4.0,20.0,59.0,1.0,3.1423495751763193
7.7,1.0,2011.0,5.0,8.0,10.0,43.0,27.0,2.8101151665319426
19.0,1.0,2014.0,8.0,21.0,10.0,21.0,17.0,4.912284173804867
14.0,1.0,2013.0,10.0,31.0,11.0,49.0,16.0,3.3505338121207404
5.0,1.0,2013.0,11.0,15.0,1.0,51.0,35.0,1.1957707841312386
8.0,1.0,2015.0,6.0,20.0,9.0,50.0,28.0,1.7768931126087548
8.7,4.0,2009.0,3.0,13.0,17.0,43.0,18.0,3.1635297271069094
3.7,1.0,2011.0,1.0,27.0,21.0,30.0,0.0,0.6190799758366886
6.1,1.0,2009.0,7.0,16.0,22.0,38.0,0.0,1.835462100142707
8.5,1.0,2013.0,6.0,22.0,13.0,48.0,0.0,1.6250462956465455
20.0,1.0,2014.0,3.0,10.0,19.0,50.0,51.0,0.25756589192024654
10.5,1.0,2010.0,5.0,28.0,8.0,18.0,34.0,4.465463382134107
26.5,1.0,2012.0,3.0,10.0,22.0,53.0,25.0,7.7440688058951945
8.0,4.0,2015.0,6.0,1.0,21.0,41.0,6.0,2.044798711904789
10.6,1.0,2009.0,1.0,26.0,0.0,44.0,42.0,2.80668793040906
4.5,1.0,2010.0,9.0,21.0,7.0,6.0,31.0,1.1064609182767382
9.7,1.0,2011.0,3.0,9.0,22.0,21.0,25.0,3.2715661163464915
20.5,1.0,2011.0,12.0,5.0,8.0,38.0,34.0,7.650867436759666
9.3,1.0,2012.0,1.0,6.0,10.0,57.0,10.0,3.1537389311422186
18.5,1.0,2014.0,5.0,25.0,21.0,9.0,0.0,4.974934758536977
5.0,2.0,2014.0,4.0,27.0,21.0,56.0,45.0,0.4220614506566617
23.5,1.0,2012.0,11.0,8.0,20.0,7.0,35.0,7.242244225560998
4.5,3.0,2009.0,12.0,11.0,15.0,57.0,17.0,0.5385177802170656
8.0,1.0,2013.0,12.0,7.0,13.0,25.0,0.0,2.102603621245464
26.5,5.0,2010.0,2.0,27.0,20.0,13.0,0.0,0.0864072711691797
5.5,2.0,2014.0,12.0,24.0,11.0,23.0,0.0,0.938825106988411
6.1,1.0,2009.0,3.0,23.0,20.0,24.0,0.0,0.8769760702106032
4.9,4.0,2010.0,3.0,23.0,17.0,43.0,0.0,0.7225156553971765
5.3,1.0,2010.0,1.0,26.0,14.0,55.0,0.0,1.7842419664624998
8.1,1.0,2011.0,7.0,5.0,14.0,23.0,0.0,2.045139231191536
20.33,1.0,2013.0,4.0,1.0,0.0,4.0,15.0,4.437416877259989
4.5,1.0,2013.0,6.0,28.0,20.0,24.0,0.0,0.9677804787665607
7.0,1.0,2014.0,5.0,12.0,12.0,11.0,28.0,2.0650067604958777
7.7,1.0,2009.0,7.0,11.0,12.0,20.0,3.0,2.436940788672549
7.3,1.0,2009.0,10.0,16.0,10.0,32.0,0.0,1.2187287955161072
5.0,2.0,2014.0,1.0,1.0,5.0,22.0,0.0,0.7810906812124679
23.5,1.0,2014.0,6.0,25.0,17.0,43.0,16.0,5.502001662815441
6.1,1.0,2012.0,5.0,9.0,15.0,26.0,0.0,1.42315187796425
11.0,1.0,2013.0,1.0,12.0,18.0,10.0,0.0,2.529990184911696
11.3,5.0,2009.0,9.0,20.0,11.0,32.0,0.0,5.038092763392083
8.1,1.0,2009.0,11.0,15.0,19.0,58.0,0.0,1.7091629117643
8.9,3.0,2010.0,3.0,28.0,22.0,32.0,44.0,3.0796813783173365
4.5,1.0,2011.0,2.0,19.0,22.0,25.0,0.0,1.63435698738984
11.0,1.0,2013.0,1.0,31.0,19.0,38.0,5.0,2.1445500559834616
8.1,1.0,2010.0,1.0,15.0,11.0,11.0,7.0,1.860057125976515
6.9,1.0,2010.0,9.0,19.0,15.0,17.0,0.0,1.189348979417106
6.0,1.0,2013.0,11.0,19.0,22.0,9.0,0.0,1.080134786044849
5.3,1.0,2009.0,4.0,27.0,20.0,28.0,39.0,1.091618920972074
6.1,1.0,2011.0,11.0,27.0,0.0,57.0,39.0,1.225651352979935
9.5,2.0,2012.0,11.0,10.0,0.0,30.0,53.0,2.8466699604744634
11.5,1.0,2013.0,12.0,18.0,9.0,15.0,0.0,2.635773533088104
17.0,6.0,2015.0,3.0,14.0,9.0,23.0,41.0,4.924732371394246
5.3,1.0,2009.0,7.0,30.0,14.0,44.0,0.0,1.273090928535503
10.0,1.0,2013.0,6.0,11.0,16.0,27.0,57.0,2.6409283255358074
15.5,1.0,2014.0,12.0,8.0,1.0,0.0,16.0,3.723148411185488
6.9,1.0,2010.0,6.0,11.0,17.0,41.0,38.0,1.9057002090726252
18.1,1.0,2011.0,5.0,1.0,12.0,48.0,32.0,6.721809042731151
15.5,1.0,2015.0,5.0,21.0,9.0,23.0,5.0,1.7040030222364295
10.1,1.0,2012.0,2.0,3.0,1.0,55.0,19.0,3.9738453079692584
21.5,6.0,2013.0,3.0,22.0,19.0,20.0,0.0,7.640730276125709
8.5,1.0,2014.0,10.0,4.0,20.0,10.0,0.0,1.166643101996809
7.3,1.0,2012.0,8.0,12.0,16.0,22.0,52.0,1.064889323898771
8.5,1.0,2014.0,9.0,16.0,15.0,12.0,19.0,1.2140562968129849
6.1,5.0,2010.0,7.0,25.0,9.0,56.0,0.0,1.3497975484083944
14.1,1.0,2012.0,2.0,25.0,19.0,43.0,0.0,4.802913335095292
6.0,1.0,2013.0,12.0,30.0,15.0,16.0,17.0,0.9244953902894597
8.5,1.0,2014.0,12.0,5.0,13.0,59.0,54.0,1.8026026685207408
8.0,1.0,2015.0,5.0,4.0,9.0,36.0,13.0,1.6339492948077667
5.3,1.0,2012.0,4.0,25.0,16.0,19.0,0.0,1.6226361862683287
10.5,1.0,2014.0,1.0,6.0,19.0,24.0,29.0,2.6871246686254735
5.5,1.0,2015.0,2.0,20.0,7.0,12.0,52.0,1.0983393086188957
8.5,1.0,2014.0,4.0,29.0,9.0,51.0,15.0,0.77270128528558
6.1,1.0,2010.0,11.0,26.0,16.0,1.0,1.0,1.8990568731656192
12.9,1.0,2010.0,12.0,26.0,11.0,50.0,32.0,4.584090004192944
10.0,5.0,2014.0,2.0,1.0,21.0,6.0,0.0,6.332960369928434
8.5,6.0,2014.0,7.0,8.0,20.0,16.0,0.0,1.944186030853693
4.9,1.0,2010.0,4.0,15.0,18.0,13.0,0.0,0.7220082128463267
6.0,1.0,2012.0,9.0,26.0,13.0,14.0,47.0,1.8383205489802128
5.0,1.0,2014.0,1.0,10.0,8.0,16.0,7.0,0.5799458227418227
