fare_amount,passenger_count,pickup_year,pickup_month,pickup_day_of_month,pickup_hour,pickup_minute,pickup_second,Trip_distance_KM
18.1,1.0,2011.0,9.0,7.0,23.0,5.0,44.0,0.9088499896216213
4.5,1.0,2015.0,3.0,12.0,8.0,8.0,38.0,0.10253385744260954
5.3,1.0,2012.0,1.0,19.0,10.0,15.0,30.0,0.12097669309769815
9.0,6.0,2013.0,11.0,24.0,11.0,42.0,0.0,0.2979042053741956
9.8,1.0,2009.0,3.0,2.0,20.0,42.0,49.0,0.455789992941385
8.1,1.0,2011.0,3.0,29.0,15.0,39.0,49.0,0.2089023463356487
10.9,2.0,2011.0,10.0,15.0,10.0,55.0,24.0,0.6372860270396773
17.5,1.0,2013.0,11.0,22.0,8.0,38.0,9.0,0.7306206471423989
12.1,1.0,2009.0,6.0,10.0,21.0,28.0,0.0,0.6935843265096873
5.3,1.0,2011.0,3.0,4.0,18.0,12.0,0.0,0.12037107644600034
6.9,1.0,2011.0,8.0,31.0,21.0,14.0,15.0,0.3239365046646652
4.5,1.0,2011.0,6.0,1.0,20.0,30.0,0.0,0.12617989332972074
3.3,1.0,2011.0,12.0,14.0,7.0,53.0,0.0,0.05870293785889799
3.3,5.0,2012.0,7.0,18.0,0.0,16.0,0.0,0.06994821479096845
9.0,1.0,2013.0,1.0,29.0,12.0,26.0,0.0,0.2094508163841804
9.7,1.0,2011.0,12.0,6.0,9.0,9.0,21.0,0.31767038407761145
5.5,3.0,2012.0,10.0,6.0,20.0,31.0,36.0,0.12884578523120901
8.0,1.0,2013.0,1.0,23.0,7.0,1.0,38.0,0.2904410636188958
7.5,1.0,2013.0,9.0,7.0,3.0,17.0,0.0,0.026318947378020898
15.3,1.0,2012.0,1.0,4.0,18.0,7.0,29.0,0.6411101525420533
9.7,4.0,2011.0,3.0,19.0,21.0,55.0,0.0,0.21491374990416373
13.7,2.0,2012.0,7.0,19.0,23.0,53.0,14.0,0.8069639841948499
6.5,1.0,2009.0,3.0,23.0,12.0,13.0,29.0,0.1614950432754757
5.0,6.0,2014.0,7.0,16.0,10.0,57.0,0.0,0.05476494528763201
4.5,3.0,2011.0,4.0,22.0,23.0,21.0,3.0,0.15657995249325535
4.9,1.0,2012.0,1.0,2.0,14.0,54.0,0.0,0.12393331240995863
7.0,6.0,2014.0,5.0,1.0,9.0,12.0,0.0,0.1840397271600817
7.5,1.0,2012.0,10.0,7.0,17.0,59.0,8.0,0.2059184140620062
8.5,4.0,2014.0,1.0,17.0,9.0,3.0,0.0,0.14151885984971302
16.5,6.0,2014.0,4.0,29.0,18.0,28.0,0.0,0.47450179950562776
11.5,6.0,2015.0,4.0,12.0,10.0,19.0,5.0,0.42893597426699936
6.9,2.0,2009.0,8.0,2.0,2.0,34.0,11.0,0.11719596644872524
3.7,1.0,2010.0,1.0,31.0,10.0,53.0,0.0,0.10716945081827049
6.9,2.0,2010.0,5.0,14.0,8.0,9.0,0.0,0.13409990509676017
10.1,2.0,2012.0,5.0,21.0,15.0,20.0,0.0,0.1524701147550503
16.5,1.0,2014.0,12.0,8.0,16.0,0.0,1.0,0.6868481308940259
15.07,2.0,2010.0,8.0,16.0,1.0,33.0,0.0,0.43486387578864644
7.7,1.0,2010.0,12.0,4.0,14.0,26.0,13.0,0.1895955313694925
7.0,2.0,2013.0,2.0,6.0,22.0,16.0,0.0,0.29841740897087915
8.5,1.0,2014.0,6.0,11.0,22.0,24.0,21.0,0.24579247948510427
5.7,1.0,2010.0,8.0,19.0,16.0,33.0,0.0,0.20003877549363086
5.0,1.0,2013.0,3.0,10.0,15.0,44.0,0.0,0.1059472596034975
17.0,1.0,2013.0,7.0,8.0,21.0,24.0,0.0,0.7497650381234671
8.0,1.0,2014.0,3.0,21.0,11.0,0.0,29.0,0.32192414833909244
12.0,1.0,2014.0,10.0,2.0,13.0,39.0,56.0,0.210096236088109
12.5,1.0,2011.0,8.0,31.0,8.0,21.0,47.0,0.6512876036259135
7.5,1.0,2014.0,5.0,19.0,6.0,26.0,0.0,0.3202129995472534
6.9,5.0,2012.0,4.0,5.0,5.0,50.0,0.0,0.2227826674229579
5.0,2.0,2015.0,3.0,4.0,14.0,55.0,40.0,0.07497714806836132
10.5,1.0,2010.0,4.0,27.0,21.0,40.0,7.0,0.5081407512334054
7.7,1.0,2011.0,2.0,22.0,11.0,9.0,16.0,0.28179145334511435
11.0,2.0,2015.0,4.0,3.0,16.0,21.0,30.0,0.2523812683105427
5.7,1.0,2009.0,1.0,9.0,15.0,1.0,20.0,0.16481030474350747
9.0,1.0,2013.0,1.0,9.0,14.0,42.0,0.0,0.28386312030821204
13.5,1.0,2013.0,7.0,6.0,17.0,18.0,0.0,0.40799558992910884
7.5,1.0,2013.0,10.0,8.0,17.0,29.0,0.0,0.1809780614844532
14.0,1.0,2015.0,5.0,17.0,8.0,2.0,59.0,0.44505411352554497
5.7,3.0,2011.0,6.0,9.0,0.0,53.0,0.0,0.16633271286622434
10.0,1.0,2014.0,11.0,12.0,12.0,40.0,29.0,0.31040678959805645
5.7,5.0,2010.0,6.0,4.0,14.0,49.0,0.0,0.14986976598576526
9.7,2.0,2010.0,11.0,8.0,20.0,42.0,0.0,0.5357182657265012
14.1,1.0,2011.0,3.0,9.0,7.0,24.0,34.0,0.7808664540497156
7.7,2.0,2011.0,8.0,4.0,10.0,38.0,0.0,0.095807431562136
52.0,1.0,2009.0,3.0,25.0,0.0,8.0,52.0,0.0
11.3,1.0,2010.0,3.0,22.0,10.0,1.0,0.0,0.5175842498622297
8.5,1.0,2012.0,3.0,25.0,9.0,22.0,45.0,0.4204679549275696
12.9,6.0,2012.0,6.0,5.0,9.0,16.0,0.0,0.3723902300947807
9.5,1.0,2012.0,11.0,6.0,11.0,33.0,14.0,0.07183932546342836
9.0,1.0,2014.0,5.0,22.0,18.0,30.0,0.0,0.259471660706456
10.0,6.0,2014.0,10.0,17.0,8.0,28.0,0.0,0.2549054228113732
9.0,1.0,2012.0,12.0,6.0,18.0,5.0,0.0,0.18951852766240726
17.0,1.0,2014.0,7.0,20.0,12.0,48.0,35.0,0.37585425176781057
6.1,5.0,2009.0,1.0,25.0,18.0,41.0,0.0,0.14071615907124416
14.5,2.0,2010.0,3.0,27.0,2.0,26.0,39.0,0.5870035522674494
3.7,1.0,2011.0,1.0,5.0,17.0,39.0,0.0,0.061166722079819415
5.3,3.0,2010.0,1.0,3.0,10.0,20.0,12.0,0.1935875071707386
11.5,5.0,2012.0,11.0,8.0,21.0,0.0,0.0,0.413743741927396
4.0,1.0,2013.0,11.0,23.0,23.0,34.0,3.0,0.1194587356496594
10.5,1.0,2010.0,6.0,17.0,16.0,12.0,58.0,0.33716006920546576
5.0,1.0,2013.0,5.0,10.0,16.0,39.0,8.0,0.21354776140570186
8.0,1.0,2014.0,1.0,6.0,21.0,21.0,0.0,0.2959863047481751
7.3,2.0,2010.0,9.0,30.0,8.0,38.0,0.0,0.2380018882909528
6.5,5.0,2012.0,10.0,6.0,15.0,47.0,0.0,0.22878771969555123
8.0,1.0,2013.0,2.0,11.0,0.0,13.0,0.0,0.17570773401641734
16.5,1.0,2014.0,9.0,12.0,23.0,10.0,0.0,0.6950348327845979
11.5,1.0,2012.0,12.0,21.0,6.0,47.0,0.0,0.39905930028561387
12.5,2.0,2014.0,11.0,1.0,16.0,51.0,9.0,0.1608129962187737
5.5,1.0,2013.0,1.0,26.0,18.0,36.0,0.0,0.09080244501053501
6.5,1.0,2013.0,5.0,20.0,11.0,3.0,50.0,0.22710182126327466
16.5,3.0,2015.0,5.0,31.0,7.0,33.0,18.0,0.809184417900147
9.0,1.0,2015.0,2.0,15.0,22.0,41.0,32.0,0.36909831827091827
8.9,1.0,2009.0,6.0,25.0,10.0,29.0,0.0,0.26412674962917965
10.9,1.0,2009.0,7.0,23.0,17.0,5.0,10.0,0.47818100088016124
8.9,1.0,2011.0,3.0,19.0,15.0,0.0,27.0,0.3497414645465947
8.5,1.0,2011.0,5.0,6.0,11.0,37.0,14.0,0.2274577893661461
17.0,1.0,2013.0,2.0,8.0,9.0,50.0,4.0,0.2663309332058696
12.5,1.0,2010.0,8.0,24.0,1.0,39.0,26.0,0.7820948029748487
16.0,1.0,2014.0,10.0,25.0,21.0,24.0,0.0,0.8286411451668223
8.0,1.0,2015.0,4.0,19.0,22.0,21.0,12.0,0.2547689988092748
5.7,1.0,2011.0,10.0,26.0,3.0,37.0,0.0,0.29040444386304326
5.5,1.0,2015.0,4.0,18.0,9.0,30.0,31.0,0.14189440928879982
16.5,2.0,2009.0,2.0,27.0,13.0,31.0,21.0,0.846403857052782
12.9,2.0,2009.0,7.0,16.0,20.0,33.0,0.0,0.6594817737670987
10.1,1.0,2011.0,5.0,16.0,13.0,10.0,38.0,0.4049428792441733
9.5,1.0,2013.0,8.0,9.0,21.0,19.0,0.0,0.19493772145541963
4.5,5.0,2010.0,3.0,14.0,15.0,40.0,0.0,0.12488443818489117
6.5,1.0,2011.0,4.0,27.0,13.0,19.0,48.0,0.12296431991550116
8.0,1.0,2014.0,11.0,4.0,12.0,11.0,19.0,0.13314323898627342
4.9,1.0,2009.0,12.0,27.0,21.0,7.0,39.0,0.155127361281249
5.7,2.0,2010.0,7.0,4.0,13.0,7.0,47.0,0.11655224064249178
15.3,5.0,2011.0,6.0,12.0,13.0,33.0,0.0,0.7579433500926437
14.9,1.0,2012.0,8.0,28.0,12.0,29.0,40.0,0.5111409825758428
7.0,1.0,2012.0,11.0,11.0,18.0,23.0,0.0,0.1449859873373388
8.5,1.0,2014.0,8.0,13.0,8.0,26.0,0.0,0.29049396914068315
4.1,1.0,2011.0,1.0,21.0,18.0,43.0,46.0,0.08624387743435616
11.7,1.0,2011.0,2.0,26.0,20.0,27.0,36.0,0.6159623421652295
5.7,2.0,2009.0,6.0,6.0,23.0,56.0,0.0,0.14074410868158463
5.3,1.0,2009.0,1.0,24.0,9.0,51.0,0.0,0.18241506040961922
4.9,1.0,2009.0,3.0,25.0,14.0,48.0,49.0,0.19876143646810507
6.5,4.0,2010.0,9.0,10.0,18.0,45.0,0.0,0.1820690449129539
11.3,2.0,2011.0,8.0,31.0,13.0,47.0,2.0,0.3917729977927903
11.5,1.0,2013.0,4.0,12.0,4.0,39.0,51.0,0.5823214676694438
5.3,2.0,2009.0,5.0,29.0,9.0,46.0,11.0,0.1076496993820146
5.7,1.0,2010.0,7.0,15.0,19.0,9.0,1.0,0.17798922645487486
8.1,1.0,2009.0,9.0,7.0,18.0,52.0,0.0,0.35751528197212695
6.1,1.0,2010.0,6.0,9.0,6.0,20.0,32.0,0.2847367672013149
9.3,1.0,2012.0,4.0,15.0,17.0,2.0,44.0,0.3144979340664836
4.5,2.0,2013.0,2.0,6.0,14.0,52.0,0.0,0.0005061148382285187
5.7,4.0,2011.0,12.0,13.0,5.0,56.0,0.0,0.17616852394704874
16.5,2.0,2014.0,7.0,27.0,8.0,22.0,0.0,0.678040796437262
17.0,2.0,2013.0,6.0,6.0,15.0,23.0,56.0,0.6528248327902634
24.5,6.0,2014.0,7.0,12.0,15.0,22.0,0.0,0.7613281068927699
6.1,1.0,2010.0,5.0,25.0,20.0,14.0,0.0,0.21314906759650207
6.0,1.0,2012.0,9.0,8.0,0.0,49.0,20.0,0.21035439006282014
6.5,1.0,2014.0,1.0,8.0,21.0,55.0,58.0,0.0
4.5,3.0,2012.0,8.0,30.0,18.0,57.0,0.0,0.1229265048901793
27.0,1.0,2013.0,5.0,2.0,7.0,41.0,0.0,0.897526163120057
16.1,1.0,2010.0,1.0,12.0,17.0,11.0,0.0,0.6564855814424554
15.7,2.0,2010.0,11.0,7.0,17.0,14.0,23.0,0.45939676071657026
5.5,1.0,2013.0,1.0,5.0,21.0,36.0,0.0,0.09896682407583006
6.0,1.0,2013.0,10.0,5.0,9.0,12.0,21.0,0.14920864312098422
7.7,1.0,2009.0,11.0,16.0,23.0,53.0,0.0,0.2030922209828417
12.9,1.0,2011.0,4.0,5.0,11.0,29.0,0.0,0.44610486580656067
5.7,2.0,2011.0,1.0,14.0,18.0,10.0,0.0,0.12229133929731288
5.3,2.0,2012.0,4.0,2.0,8.0,2.0,16.0,0.11307190406588416
10.5,1.0,2010.0,2.0,10.0,8.0,57.0,54.0,0.4614598280912215
7.3,1.0,2011.0,5.0,31.0,22.0,21.0,1.0,0.4950664539722643
4.5,1.0,2011.0,9.0,26.0,9.0,32.0,42.0,0.0943635752647007
12.5,1.0,2012.0,10.0,23.0,8.0,9.0,25.0,0.34305642417141474
16.5,1.0,2013.0,9.0,7.0,22.0,29.0,0.0,0.8422109518412467
4.9,2.0,2012.0,7.0,31.0,19.0,20.0,0.0,0.11683993211195717
4.1,1.0,2011.0,8.0,26.0,8.0,0.0,0.0,0.12011280058573409
15.5,1.0,2013.0,3.0,17.0,12.0,56.0,58.0,0.5745812839559875
11.0,1.0,2015.0,5.0,25.0,15.0,11.0,9.0,0.41880968742593017
4.9,2.0,2009.0,4.0,8.0,19.0,11.0,10.0,0.14195491402693605
11.3,1.0,2009.0,6.0,6.0,1.0,57.0,52.0,0.7312815349089409
14.9,6.0,2012.0,1.0,13.0,11.0,28.0,0.0,0.29824902133413705
6.1,1.0,2012.0,6.0,18.0,20.0,57.0,27.0,0.23087375217801245
3.3,1.0,2010.0,2.0,23.0,9.0,49.0,0.0,0.019551274265603442
4.1,1.0,2012.0,1.0,6.0,7.0,5.0,8.0,0.08766157370972018
12.0,3.0,2014.0,7.0,21.0,14.0,3.0,0.0,0.29557552724029984
9.0,1.0,2014.0,8.0,5.0,11.0,44.0,33.0,0.15010286089367111
2.5,1.0,2012.0,3.0,29.0,3.0,51.0,0.0,0.008789620171944713
8.9,1.0,2012.0,6.0,30.0,13.0,43.0,0.0,0.3000656474529373
10.5,1.0,2014.0,1.0,31.0,4.0,49.0,53.0,0.23965827968765366
5.7,1.0,2010.0,11.0,16.0,19.0,40.0,0.0,0.1276640978113306
7.0,2.0,2012.0,12.0,15.0,19.0,11.0,53.0,0.1933370224159392
12.0,1.0,2014.0,7.0,20.0,23.0,51.0,54.0,0.6259050382802207
4.5,1.0,2012.0,8.0,18.0,18.0,33.0,0.0,0.18879223387384939
7.3,5.0,2009.0,8.0,8.0,21.0,32.0,0.0,0.22970117706709248
5.3,1.0,2010.0,1.0,8.0,0.0,28.0,0.0,0.25639164227463135
6.9,5.0,2010.0,9.0,19.0,19.0,28.0,0.0,0.33815373311982355
9.3,1.0,2012.0,5.0,16.0,18.0,14.0,0.0,0.3259773566582558
6.7,1.0,2009.0,2.0,13.0,16.0,54.0,52.0,0.21591717097543484
9.0,1.0,2013.0,9.0,3.0,8.0,8.0,0.0,0.3105977830470975
13.0,2.0,2013.0,1.0,20.0,14.0,33.0,27.0,0.41902892719170143
5.5,1.0,2013.0,9.0,9.0,22.0,12.0,59.0,0.12972597247952347
8.1,1.0,2009.0,1.0,23.0,7.0,28.0,0.0,0.445132378627072
9.3,1.0,2011.0,2.0,18.0,13.0,19.0,49.0,0.3892364506436314
18.0,1.0,2013.0,5.0,11.0,19.0,51.0,0.0,0.6148061288930351
12.0,1.0,2014.0,9.0,13.0,12.0,17.0,0.0,0.2670509635663692
7.3,1.0,2009.0,4.0,21.0,22.0,59.0,27.0,0.2920280540057978
4.9,2.0,2009.0,9.0,26.0,15.0,17.0,20.0,0.15654295669003737
16.1,1.0,2010.0,5.0,28.0,21.0,33.0,7.0,0.5479116371065437
12.9,2.0,2011.0,5.0,2.0,8.0,20.0,11.0,0.7579572533085556
4.0,1.0,2015.0,2.0,14.0,19.0,0.0,23.0,0.08151960166218271
15.3,1.0,2011.0,5.0,2.0,12.0,44.0,59.0,0.5867470304953177
11.7,1.0,2012.0,6.0,24.0,17.0,33.0,0.0,0.4642422542783274
8.9,1.0,2010.0,6.0,30.0,2.0,22.0,5.0,0.38988899220357154
6.0,1.0,2013.0,4.0,26.0,2.0,6.0,0.0,0.09609794460090933
6.0,1.0,2013.0,5.0,2.0,3.0,57.0,12.0,0.15688629145616625
6.5,1.0,2011.0,1.0,23.0,11.0,44.0,28.0,0.1902673684365458
7.5,1.0,2012.0,10.0,14.0,21.0,6.0,27.0,0.26160950866957944
16.5,1.0,2015.0,4.0,30.0,14.0,7.0,57.0,0.25201230462011387
9.7,1.0,2012.0,1.0,8.0,19.0,3.0,15.0,0.5674584780593623
7.7,1.0,2012.0,4.0,24.0,13.0,0.0,36.0,0.3713048160006206
19.0,2.0,2014.0,5.0,9.0,9.0,42.0,16.0,0.798464679266167
10.5,2.0,2012.0,11.0,18.0,12.0,17.0,0.0,0.3159425392957595
8.9,3.0,2011.0,6.0,15.0,18.0,7.0,0.0,0.26932366903292376
7.5,1.0,2012.0,8.0,25.0,1.0,53.0,42.0,0.0
5.5,1.0,2012.0,9.0,6.0,13.0,41.0,0.0,0.11508850793092741
10.9,1.0,2009.0,5.0,13.0,18.0,17.0,0.0,0.5133696586501575
5.7,1.0,2010.0,1.0,17.0,22.0,7.0,0.0,0.22954121353078064
18.1,2.0,2009.0,12.0,6.0,11.0,58.0,29.0,0.7480707485887532
10.9,5.0,2010.0,6.0,30.0,6.0,15.0,0.0,0.6178219842383174
8.9,5.0,2011.0,4.0,4.0,18.0,56.0,0.0,0.5019476245113949
13.5,2.0,2014.0,3.0,3.0,23.0,30.0,0.0,0.7160645221822505
5.0,2.0,2014.0,5.0,19.0,20.0,59.0,26.0,0.17971040066085398
5.3,1.0,2011.0,12.0,7.0,19.0,40.0,21.0,0.14355103438208436
7.7,1.0,2012.0,6.0,17.0,2.0,5.0,53.0,0.21081713772013702
9.0,1.0,2013.0,1.0,1.0,14.0,26.0,0.0,0.3298368062213373
16.1,1.0,2011.0,10.0,8.0,0.0,24.0,0.0,0.3646640009729664
4.9,2.0,2012.0,7.0,30.0,16.0,19.0,8.0,0.13410030129201608
5.5,1.0,2012.0,9.0,9.0,10.0,24.0,15.0,0.15963011354205744
8.5,3.0,2014.0,2.0,28.0,22.0,45.0,7.0,0.23378266067113418
9.5,1.0,2014.0,6.0,10.0,14.0,18.0,29.0,0.5094851798697329
7.5,1.0,2015.0,3.0,29.0,13.0,31.0,25.0,0.24631439873800234
6.9,1.0,2009.0,12.0,14.0,12.0,33.0,0.0,0.0
7.5,2.0,2013.0,9.0,21.0,2.0,54.0,0.0,0.2255782419292939
8.1,1.0,2009.0,8.0,31.0,10.0,25.0,0.0,0.2548743490065851
5.7,1.0,2012.0,6.0,26.0,13.0,8.0,14.0,0.11192525300095078
14.1,1.0,2010.0,1.0,21.0,8.0,39.0,0.0,0.5310486242902882
5.7,1.0,2011.0,7.0,21.0,15.0,43.0,0.0,0.21289492820154773
7.0,1.0,2013.0,11.0,6.0,11.0,26.0,54.0,0.1789612519500534
12.0,1.0,2014.0,2.0,9.0,2.0,17.0,0.0,0.45004011220984774
11.5,1.0,2015.0,4.0,18.0,8.0,29.0,8.0,0.42608003226302
12.1,1.0,2010.0,3.0,27.0,22.0,20.0,51.0,0.543363399678259
4.5,1.0,2010.0,9.0,13.0,9.0,37.0,0.0,0.15686891232597536
10.1,1.0,2011.0,4.0,4.0,20.0,59.0,1.0,0.3996528160825761
7.7,1.0,2011.0,5.0,8.0,10.0,43.0,27.0,0.3573983138899598
19.0,1.0,2014.0,8.0,21.0,10.0,21.0,17.0,0.6247580533266509
14.0,1.0,2013.0,10.0,31.0,11.0,49.0,16.0,0.42613027015583005
5.0,1.0,2013.0,11.0,15.0,1.0,51.0,35.0,0.15208147592570276
8.0,1.0,2015.0,6.0,20.0,9.0,50.0,28.0,0.22599024053266778
8.7,4.0,2009.0,3.0,13.0,17.0,43.0,18.0,0.40234656709964495
3.7,1.0,2011.0,1.0,27.0,21.0,30.0,0.0,0.07873632446179481
6.1,1.0,2009.0,7.0,16.0,22.0,38.0,0.0,0.23343920833305512
8.5,1.0,2013.0,6.0,22.0,13.0,48.0,0.0,0.20667793725122358
20.0,1.0,2014.0,3.0,10.0,19.0,50.0,51.0,0.03275795119865717
10.5,1.0,2010.0,5.0,28.0,8.0,18.0,34.0,0.5679301341523669
26.5,1.0,2012.0,3.0,10.0,22.0,53.0,25.0,0.9849123505107122
8.0,4.0,2015.0,6.0,1.0,21.0,41.0,6.0,0.26006322466173065
10.6,1.0,2009.0,1.0,26.0,0.0,44.0,42.0,0.35696242840519066
4.5,1.0,2010.0,9.0,21.0,7.0,6.0,31.0,0.14072279716040165
9.7,1.0,2011.0,3.0,9.0,22.0,21.0,25.0,0.4160869375345828
20.5,1.0,2011.0,12.0,5.0,8.0,38.0,34.0,0.9730587394637377
9.3,1.0,2012.0,1.0,6.0,10.0,57.0,10.0,0.40110134625919813
18.5,1.0,2014.0,5.0,25.0,21.0,9.0,0.0,0.6327261300852665
5.0,2.0,2014.0,4.0,27.0,21.0,56.0,45.0,0.05367895686951615
23.5,1.0,2012.0,11.0,8.0,20.0,7.0,35.0,0.9210888955092853
4.5,3.0,2009.0,12.0,11.0,15.0,57.0,17.0,0.0684901988863578
8.0,1.0,2013.0,12.0,7.0,13.0,25.0,0.0,0.2674150148584349
26.5,5.0,2010.0,2.0,27.0,20.0,13.0,0.0,0.010989518647312112
5.5,2.0,2014.0,12.0,24.0,11.0,23.0,0.0,0.11940240537874952
6.1,1.0,2009.0,3.0,23.0,20.0,24.0,0.0,0.11153627173292217
4.9,4.0,2010.0,3.0,23.0,17.0,43.0,0.0,0.09189156375990645
5.3,1.0,2010.0,1.0,26.0,14.0,55.0,0.0,0.22692488833914667
8.1,1.0,2011.0,7.0,5.0,14.0,23.0,0.0,0.2601065328579142
20.33,1.0,2013.0,4.0,1.0,0.0,4.0,15.0,0.5643631011453578
4.5,1.0,2013.0,6.0,28.0,20.0,24.0,0.0,0.12308503062301636
7.0,1.0,2014.0,5.0,12.0,12.0,11.0,28.0,0.2626333408546463
7.7,1.0,2009.0,7.0,11.0,12.0,20.0,3.0,0.3099369517997787
7.3,1.0,2009.0,10.0,16.0,10.0,32.0,0.0,0.15500134008534316
5.0,2.0,2014.0,1.0,1.0,5.0,22.0,0.0,0.0993412995258189
23.5,1.0,2014.0,6.0,25.0,17.0,43.0,16.0,0.6997599745126466
6.1,1.0,2012.0,5.0,9.0,15.0,26.0,0.0,0.18100044000028395
11.0,1.0,2013.0,1.0,12.0,18.0,10.0,0.0,0.3217712345083383
11.3,5.0,2009.0,9.0,20.0,11.0,32.0,0.0,0.640758741955664
8.1,1.0,2009.0,11.0,15.0,19.0,58.0,0.0,0.21737612397633077
8.9,3.0,2010.0,3.0,28.0,22.0,32.0,44.0,0.3916824993643591
4.5,1.0,2011.0,2.0,19.0,22.0,25.0,0.0,0.2078620970927255
11.0,1.0,2013.0,1.0,31.0,19.0,38.0,5.0,0.2727498798588459
8.1,1.0,2010.0,1.0,15.0,11.0,11.0,7.0,0.2365672725731878
6.9,1.0,2010.0,9.0,19.0,15.0,17.0,0.0,0.1512647328241045
6.0,1.0,2013.0,11.0,19.0,22.0,9.0,0.0,0.13737456596227135
5.3,1.0,2009.0,4.0,27.0,20.0,28.0,39.0,0.1388351503925317
6.1,1.0,2011.0,11.0,27.0,0.0,57.0,39.0,0.15588177032352155
9.5,2.0,2012.0,11.0,10.0,0.0,30.0,53.0,0.3620474549199253
11.5,1.0,2013.0,12.0,18.0,9.0,15.0,0.0,0.33522505687339865
17.0,6.0,2015.0,3.0,14.0,9.0,23.0,41.0,0.6263412499452092
5.3,1.0,2009.0,7.0,30.0,14.0,44.0,0.0,0.16191526835134076
10.0,1.0,2013.0,6.0,11.0,16.0,27.0,57.0,0.33588065780790965
15.5,1.0,2014.0,12.0,8.0,1.0,0.0,16.0,0.4735204380117888
6.9,1.0,2010.0,6.0,11.0,17.0,41.0,38.0,0.24237228766067304
18.1,1.0,2011.0,5.0,1.0,12.0,48.0,32.0,0.8548984919814641
15.5,1.0,2015.0,5.0,21.0,9.0,23.0,5.0,0.2167198747808947
10.1,1.0,2012.0,2.0,3.0,1.0,55.0,19.0,0.5054047711790096
21.5,6.0,2013.0,3.0,22.0,19.0,20.0,0.0,0.9717694669949943
8.5,1.0,2014.0,10.0,4.0,20.0,10.0,0.0,0.1483769357679357
7.3,1.0,2012.0,8.0,12.0,16.0,22.0,52.0,0.13543560540635724
8.5,1.0,2014.0,9.0,16.0,15.0,12.0,19.0,0.15440707861946526
6.1,5.0,2010.0,7.0,25.0,9.0,56.0,0.0,0.17167103100949652
14.1,1.0,2012.0,2.0,25.0,19.0,43.0,0.0,0.6108479638722838
6.0,1.0,2013.0,12.0,30.0,15.0,16.0,17.0,0.11757991189246066
8.5,1.0,2014.0,12.0,5.0,13.0,59.0,54.0,0.22926005382830694
8.0,1.0,2015.0,5.0,4.0,9.0,36.0,13.0,0.20781024560878855
5.3,1.0,2012.0,4.0,25.0,16.0,19.0,0.0,0.20637141279332097
10.5,1.0,2014.0,1.0,6.0,19.0,24.0,29.0,0.341756038050245
5.5,1.0,2015.0,2.0,20.0,7.0,12.0,52.0,0.13968986810740217
8.5,1.0,2014.0,4.0,29.0,9.0,51.0,15.0,0.09827431266544569
6.1,1.0,2010.0,11.0,26.0,16.0,1.0,1.0,0.24152736960178126
12.9,1.0,2010.0,12.0,26.0,11.0,50.0,32.0,0.583017400044965
10.0,5.0,2014.0,2.0,1.0,21.0,6.0,0.0,0.8054436291796835
8.5,6.0,2014.0,7.0,8.0,20.0,16.0,0.0,0.24726702221712124
